,Unnamed: 0,source_text,target_text,generated
0,33077,Emma was extremely glad to see him -- but there was a degree of confusion -- a number,of embarrassing recollections on each side ., things had been said about him.
1,29428,The unhappiness produced by the knowledge of that engagement had been a little put aside by Elizabeth Martin 's calling at,Mrs. Goddard 's a few days afterwards ., the invitation of Mr. Crawford.
2,24915,"He was keeping this object ever in view when he joined his friends at the theatre a few evenings later , and in glancing round the house after the first act , observed Miss Crawford with",several other persons in a box at some distance from him .," a smile on her face, and wished to see her again."
3,1680,"Peals of thunder so loud as to seem to shake the edifice to its foundation will roll round the neighbouring mountains -- and during the frightful gusts of wind which accompany it , you will probably think you discern ( for your lamp is",not extinguished ) one part of the hanging more violently agitated than the rest ., not a light ) that it is not in danger of being blown into the ground
4,18171,"Now , Mr. Bertram , if you write to your brother , I entreat you to tell him that my harp is come : he",heard so much of my misery about it .," will not be without it, '' said Elizabeth."
5,10749,"But her commendation , though costing her some trouble , could by no means satisfy Mr. Collins , and he was very soon obliged to take",her Ladyship 's praise into his own hands ., the liberty of reprimanding her for her actions.
6,19508,"A fine blush having succeeded the previous paleness of her face , he was justified in his belief of her",equal improvement in health and beauty .," beauty, and of her being a very fine woman."
7,3478,"on Wednesday the 8th of February 1586 -- to the everlasting Reproach of Elizabeth , her Ministers ,",and of England in general ., and all their Friends.
8,18315,"to be sure she did , ” said Mrs. Norris : “ would you have her stay within",such a fine day as this ?, the next two weeks? ” cried Miss Norris.
9,3609,"“ Yes , it is an horrible East wind -- said her Mother -- I assure you I can hardly bear the window down -- But you are used to be blown about by the wind Miss Maria",and that is what has made your Complexion so rudely and coarse .,", I can not bear to see you."
10,131,"After chatting some time on such matters as naturally arose from the objects around them , he suddenly addressed her with -- “ I have hitherto been very remiss , madam , in the proper attentions of a partner here ; I have not yet asked you how long you have been in Bath ; whether you were ever here before ; whether you","have been at the Upper Rooms , the theatre , and the concert ; and how you like the place altogether .", have ever been here before ; but I have not yet been asked if you have been
11,20707,"“ She could not recollect what it was that she had heard about one of the Miss Maddoxes , or what it was that Lady Prescott had noticed in Fanny : she was not sure whether Colonel Harrison had been talking of Mr. Crawford or of William when he said he was the finest young man in the room -- somebody had whispered something to her ; she had forgot to ask Sir Thomas what it could be. ”","And these were her longest speeches and clearest communications : the rest was only a languid “ Yes , yes ; very well ; did you ?", ” “ I did not know if he was talking of Mr. Crawford or of
12,27777,"You do not know it I dare say , but two or three years ago I had a great passion for taking likenesses , and attempted several of my friends ,",and was thought to have a tolerable eye in general ., to be a part of my family. ''
13,9470,"But she is perfectly amiable , and often condescends to drive by my humble abode in her",little phaeton and ponies . ''," steadfast, affectionate manner. ''"
14,32944,"Had he said any thing to bear a different construction , I should not have believed him. ” “ My Emma",", he means no such thing ."," is a very happy girl, ” said he."
15,34429,"A proper establishment of servants , a carriage , perhaps two , and hunters , can not",be supported on less . '', be a good one for a family of four.
16,14113,"Mr Shepherd hastened to assure him , that Admiral Croft was a very hale , hearty , well-looking man , a little weather-beaten , to be sure , but not much , and quite the gentleman in all his notions and behaviour ; not likely to make the smallest difficulty about terms , only wanted a comfortable home , and to get into it as soon as possible ; knew he must pay for his convenience ; knew what rent a ready-furnished house of that consequence might fetch ; should not have been surprised if Sir Walter had asked more ; had inquired about the","manor ; would be glad of the deputation , certainly , but made no great point of it ; said he sometimes took out a gun , but never killed ; quite the gentleman ."," smallest things, and had not been able to find any answer, but "
17,37137,"Mr. Harris , who attended her every day , still talked boldly of a speedy recovery , and Miss Dashwood was equally sanguine ; but the expectation",of the others was by no means so cheerful ., was tempered by the dreadful dread of her being so seriously injured 
18,2800,“ Sir Edward was surprised ; he had perhaps little expected to meet with so spirited,an opposition to his will ., a woman as Mr. Darcy.
